role,source_file,line_number,log_timestamp,category,request_id,message
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,12,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(0): 1 context requests, 32 context tokens, 0 generation requests, 0 generation tokens, iteration elapsed time: 46.23 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,13,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(1): 1 context requests, 32 context tokens, 1 generation requests, 1 generation tokens, iteration elapsed time: 50.57 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,17,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(2): 1 context requests, 32 context tokens, 2 generation requests, 2 generation tokens, iteration elapsed time: 58.17 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,18,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(3): 0 context requests, 0 context tokens, 3 generation requests, 3 generation tokens, iteration elapsed time: 44.56 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,23,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(4): 1 context requests, 32 context tokens, 3 generation requests, 3 generation tokens, iteration elapsed time: 58.78 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,27,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(5): 0 context requests, 0 context tokens, 4 generation requests, 4 generation tokens, iteration elapsed time: 45.08 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,28,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(6): 1 context requests, 32 context tokens, 4 generation requests, 4 generation tokens, iteration elapsed time: 50.83 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,32,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(7): 1 context requests, 32 context tokens, 5 generation requests, 5 generation tokens, iteration elapsed time: 58.57 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,33,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(8): 0 context requests, 0 context tokens, 6 generation requests, 6 generation tokens, iteration elapsed time: 44.16 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,37,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(9): 1 context requests, 32 context tokens, 6 generation requests, 6 generation tokens, iteration elapsed time: 58.52 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,41,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(10): 0 context requests, 0 context tokens, 7 generation requests, 7 generation tokens, iteration elapsed time: 45.01 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,42,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(11): 1 context requests, 32 context tokens, 7 generation requests, 7 generation tokens, iteration elapsed time: 50.89 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,47,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(12): 1 context requests, 32 context tokens, 8 generation requests, 8 generation tokens, iteration elapsed time: 58.04 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,51,07-31 17:30:44,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:44 [core.py:348] Iteration(13): 0 context requests, 0 context tokens, 9 generation requests, 9 generation tokens, iteration elapsed time: 44.42 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,52,07-31 17:30:45,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:45 [core.py:348] Iteration(14): 1 context requests, 32 context tokens, 9 generation requests, 9 generation tokens, iteration elapsed time: 52.08 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,56,07-31 17:30:45,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:45 [core.py:348] Iteration(15): 1 context requests, 32 context tokens, 10 generation requests, 10 generation tokens, iteration elapsed time: 59.92 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep3-seg1-attempt2/combined_server.log,57,07-31 17:30:45,iteration,,"[0;36m(EngineCore_DP0 pid=2951204)[0;0m INFO 07-31 17:30:45 [core.py:348] Iteration(16): 0 context requests, 0 context tokens, 11 generation requests, 11 generation tokens, iteration elapsed time: 45.74 ms"
